id,order_id,product_id,quantity,unit_price
1,1,1,1,25000.00
2,1,2,1,3500.00
3,2,2,1,3500.00
4,3,3,1,75000.00
5,4,9,2,600.00
6,4,15,1,450.00
7,5,1,1,25000.00
8,6,8,1,1500.00
9,6,13,1,900.00
10,7,4,1,8000.00
11,8,7,1,3500.00
12,9,10,1,2200.00
13,9,13,2,900.00
14,10,9,1,600.00
15,10,15,1,450.00
16,11,4,1,8000.00
17,11,12,3,1100.00
18,12,14,1,3000.00
19,13,5,2,800.00
20,13,6,1,1200.00
21,13,13,1,900.00
22,14,8,1,1500.00
23,15,1,1,25000.00
24,15,14,1,3000.00
25,16,11,1,2500.00
26,17,3,1,75000.00
27,18,2,1,3500.00
28,18,7,1,3500.00
29,19,4,1,8000.00
30,20,15,2,450.00
31,21,16,1,18000.00
32,22,17,1,4500.00
33,23,16,1,18000.00
34,23,2,1,3500.00
35,23,19,1,2200.00
36,23,15,1,2500.00
37,24,19,1,2500.00
38,25,18,2,1800.00
39,26,3,1,75000.00
40,27,21,1,1800.00
41,27,24,1,150.00
42,28,22,1,12000.00
43,29,2,1,3500.00
44,29,13,1,900.00
45,30,20,2,600.00
46,31,16,1,18000.00
47,32,17,1,4500.00
48,33,10,1,2200.00
49,34,21,1,1800.00
50,35,1,1,25000.00
51,36,3,1,75000.00
52,37,13,2,900.00
53,37,5,2,800.00
54,37,15,1,450.00
55,37,24,2,750.00
56,38,4,1,8000.00
57,39,17,1,4500.00
58,40,22,1,12000.00
59,41,14,1,3000.00
60,42,16,1,18000.00
61,42,8,1,1500.00
62,42,21,1,1800.00
63,42,20,1,2200.00
64,42,15,1,2500.00
65,43,21,1,1800.00
66,44,17,1,4500.00
67,45,3,1,75000.00
68,46,19,1,2500.00
69,47,4,1,8000.00
70,48,20,1,1200.00
71,49,16,1,18000.00
72,50,18,2,1800.00
73,51,1,1,25000.00
74,52,17,1,4500.00
75,53,22,1,12000.00
76,54,10,1,2200.00
77,55,21,1,1800.00
78,55,24,3,750.00
79,55,15,1,450.00
80,56,4,1,8000.00
81,57,20,1,1200.00
82,58,16,1,18000.00
83,59,17,1,4500.00
84,60,14,1,3000.00
85,61,3,1,75000.00
86,62,19,1,2500.00
87,63,1,1,25000.00
88,64,21,1,1800.00
89,65,22,1,12000.00
90,66,17,1,4500.00
91,67,10,1,2200.00
92,68,4,1,8000.00
93,69,20,1,1200.00
94,70,16,1,18000.00
95,71,3,1,75000.00
96,72,18,2,1800.00
97,73,17,1,4500.00
98,74,22,1,12000.00
99,75,10,1,2200.00
100,76,3,1,75000.00
101,77,21,1,1950.00
102,78,4,1,8000.00
103,79,1,1,25000.00
104,80,17,1,4500.00
105,81,14,1,3000.00
106,82,16,1,18000.00
107,83,20,1,1200.00
108,84,22,1,12000.00
109,85,19,1,2500.00
110,86,17,1,4500.00
111,87,3,1,75000.00
112,88,4,1,8000.00
113,89,10,1,2200.00
114,90,16,1,18000.00
115,91,20,1,1200.00
116,92,1,1,25000.00
117,93,17,1,4500.00
118,94,22,1,12000.00
119,95,18,2,1800.00
120,96,3,1,75000.00
121,97,19,1,2500.00
122,98,16,1,18000.00
123,99,4,1,8000.00
124,100,3,1,75000.00
125,101,17,1,4500.00
126,102,1,1,25000.00
127,103,21,1,1950.00
128,104,22,1,12000.00
129,105,10,1,2200.00
130,106,16,1,18000.00
131,107,17,1,4500.00
132,108,4,1,8000.00
133,109,14,1,3000.00
134,110,20,1,1200.00
135,111,3,1,75000.00
136,112,17,1,4500.00
137,113,16,1,18000.00
138,114,4,1,8000.00
139,115,19,1,2500.00
140,116,22,1,12000.00
141,117,21,1,1800.00
142,117,4,1,8000.00
143,118,17,1,4500.00
144,119,1,1,25000.00
145,120,10,1,2200.00
146,121,16,1,18000.00
147,122,18,2,1800.00
148,123,3,1,75000.00
149,124,21,1,1950.00
150,125,22,1,12000.00
